Yearly Compensation,Gender: Men1Women0,Number of Programming languages,Number of IDES,Number of Hosted Notebooks,Number of Data Visualization Libraries,Number of Machine Learning Frameworks,Number of Daily data activities,Country: Australia,Country: Brazil,Country: Canada,Country: China,Country: France,Country: Germany,Country: India,Country: Italy,Country: Japan,Country: Nigeria,Country: Other,Country: Russia,Country: Spain,Country: Turkey,Country: United Kingdom,Country: United States,University Degree,Education: Bachelor,Education: Doctoral,Education: High school,Education: Master,Education: Professional,Education: Some college,Job Title: Business Analyst,Job Title: Data Analyst,Job Title: Data Engineer/DBA,Job Title: Data Scientist,Job Title: Machine Learning Engineer,Job Title: Manager/C-level,Job Title: Other,Job Title: Product/Project Manager,Job Title: Research Scientist/Statistician,Job Title: Software Engineer,Machine Learning Status in Company: Do not use ML / Do not know,Machine Learning Status in Company: Exploring ML,Machine Learning Status in Company: Recently started using ML,Machine Learning Status in Company: Use ML for generating insights,Machine Learning Status in Company: Well established ML,Number of Primary Tool to Analyze Data,Profile: Beginners,Profile: Coders,Profile: ML Veterans,Profile: Modern DS,Profile: Others,Age,Tenure: Years Writing Code,Tenure: Years Using Machine Learning Methods,Years Writing Code Profile,Years Using ML Profile,Yearly Compensation Numeric,Survey Year
10-20k,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,32,0,0,0,0,15,2018
0-10k,0,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,32,7.5,0.5,6.5,0.5,5,2018
0-10k,1,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,23,7.5,2,6.5,2.5,5,2018
10-20k,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,37,0.5,0.5,0.5,0.5,15,2018
0-10k,1,1,8,2,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,19.5,0.5,0.5,0.5,0.5,5,2018
20-30k,1,5,6,2,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,32,2,0.5,1.5,0.5,25,2018
125-150k,1,4,3,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,42,7.5,5,6.5,6.5,137.5,2018
30-40k,1,5,8,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,27,4,2,6.5,1.5,35,2018
10-20k,0,3,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,27,2,2,1.5,1.5,15,2018
30-40k,1,1,2,1,1,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,27,2,2,1.5,1.5,35,2018
